,dias_cursado,semestre_año,nota_final_materia,fecha_mesa_epoch,nombre_examen,nota_parcial,id_tarea,nombre_de_la_tarea,fecha_creacion_tarea,vencimiento_tarea,apertura_tarea,cierre_tarea,puntos_posibles,nombre_entrega,id_entrega_tarea,puntaje,formato_entrega,fecha_entrega,fecha_correccion,fecha_creacion_tarea,id_usuario,id_curso,nombre_curso,legajo
10141,57,1-2022,4.0,1656979200.0,RECUPERATORIO PRIMER PARCIAL(20),6.0,194558.0,Trabajo Práctico 2 [TP2],1645039481.0,1656989999.0,1647831600.0,1656989999.0,100.0,Trabajo Práctico 1 [TP1],c1017cb6-832e-4f8a-8bfa-4cc1dfd7ffa0,76.6666666666667,basic_lti_launch,1656895795.0,1656895803.0,1659392827.0,120199e7-7e5e-4415-9ba6-d7635bcb9ef3,cb84e191-378f-43eb-a647-eb72eb5c7574,Horizontal multi-tasking productivity,724054QKZ
10142,57,1-2022,4.0,1656979200.0,RECUPERATORIO PRIMER PARCIAL(20),6.0,194558.0,Trabajo Práctico 2 [TP2],1645039481.0,1656989999.0,1647831600.0,1656989999.0,100.0,Trabajo Práctico 2 [TP2],3b8ad4aa-cb3a-4591-a29f-f3ca4aae2e85,20.0,basic_lti_launch,1656989999.0,1657015880.0,1659392827.0,120199e7-7e5e-4415-9ba6-d7635bcb9ef3,cb84e191-378f-43eb-a647-eb72eb5c7574,Horizontal multi-tasking productivity,724054QKZ
10143,57,1-2022,4.0,1656979200.0,RECUPERATORIO PRIMER PARCIAL(20),6.0,194558.0,Trabajo Práctico 2 [TP2],1645039481.0,1656989999.0,1647831600.0,1656989999.0,100.0,Trabajo Práctico 4 [TP4],021dd3d3-c553-4aff-ab0d-25628b3005a6,100.0,basic_lti_launch,1656985772.0,1656985775.0,1659392827.0,120199e7-7e5e-4415-9ba6-d7635bcb9ef3,cb84e191-378f-43eb-a647-eb72eb5c7574,Horizontal multi-tasking productivity,724054QKZ
10144,57,1-2022,4.0,1656979200.0,RECUPERATORIO PRIMER PARCIAL(20),6.0,194558.0,Trabajo Práctico 2 [TP2],1645039481.0,1656989999.0,1647831600.0,1656989999.0,100.0,Trabajo Práctico 3 [TP3],f1d28914-9ff5-41ff-be0a-66e0fc851272,83.3333333333333,basic_lti_launch,1656897005.0,1656897007.0,1659392827.0,120199e7-7e5e-4415-9ba6-d7635bcb9ef3,cb84e191-378f-43eb-a647-eb72eb5c7574,Horizontal multi-tasking productivity,724054QKZ
10145,57,1-2022,4.0,1656979200.0,RECUPERATORIO PRIMER PARCIAL(20),6.0,194565.0,Trabajo Práctico 4 [TP4],1645039482.0,1656989999.0,1647831600.0,1656989999.0,100.0,Trabajo Práctico 1 [TP1],c1017cb6-832e-4f8a-8bfa-4cc1dfd7ffa0,76.6666666666667,basic_lti_launch,1656895795.0,1656895803.0,1659392827.0,120199e7-7e5e-4415-9ba6-d7635bcb9ef3,cb84e191-378f-43eb-a647-eb72eb5c7574,Horizontal multi-tasking productivity,724054QKZ
10146,57,1-2022,4.0,1656979200.0,RECUPERATORIO PRIMER PARCIAL(20),6.0,194565.0,Trabajo Práctico 4 [TP4],1645039482.0,1656989999.0,1647831600.0,1656989999.0,100.0,Trabajo Práctico 2 [TP2],3b8ad4aa-cb3a-4591-a29f-f3ca4aae2e85,20.0,basic_lti_launch,1656989999.0,1657015880.0,1659392827.0,120199e7-7e5e-4415-9ba6-d7635bcb9ef3,cb84e191-378f-43eb-a647-eb72eb5c7574,Horizontal multi-tasking productivity,724054QKZ
10147,57,1-2022,4.0,1656979200.0,RECUPERATORIO PRIMER PARCIAL(20),6.0,194565.0,Trabajo Práctico 4 [TP4],1645039482.0,1656989999.0,1647831600.0,1656989999.0,100.0,Trabajo Práctico 4 [TP4],021dd3d3-c553-4aff-ab0d-25628b3005a6,100.0,basic_lti_launch,1656985772.0,1656985775.0,1659392827.0,120199e7-7e5e-4415-9ba6-d7635bcb9ef3,cb84e191-378f-43eb-a647-eb72eb5c7574,Horizontal multi-tasking productivity,724054QKZ
10148,57,1-2022,4.0,1656979200.0,RECUPERATORIO PRIMER PARCIAL(20),6.0,194565.0,Trabajo Práctico 4 [TP4],1645039482.0,1656989999.0,1647831600.0,1656989999.0,100.0,Trabajo Práctico 3 [TP3],f1d28914-9ff5-41ff-be0a-66e0fc851272,83.3333333333333,basic_lti_launch,1656897005.0,1656897007.0,1659392827.0,120199e7-7e5e-4415-9ba6-d7635bcb9ef3,cb84e191-378f-43eb-a647-eb72eb5c7574,Horizontal multi-tasking productivity,724054QKZ
10149,57,1-2022,4.0,1656979200.0,RECUPERATORIO PRIMER PARCIAL(20),6.0,194561.0,Trabajo Práctico 3 [TP3],1645039481.0,1656989999.0,1647831600.0,1656989999.0,100.0,Trabajo Práctico 1 [TP1],c1017cb6-832e-4f8a-8bfa-4cc1dfd7ffa0,76.6666666666667,basic_lti_launch,1656895795.0,1656895803.0,1659392827.0,120199e7-7e5e-4415-9ba6-d7635bcb9ef3,cb84e191-378f-43eb-a647-eb72eb5c7574,Horizontal multi-tasking productivity,724054QKZ
10150,57,1-2022,4.0,1656979200.0,RECUPERATORIO PRIMER PARCIAL(20),6.0,194561.0,Trabajo Práctico 3 [TP3],1645039481.0,1656989999.0,1647831600.0,1656989999.0,100.0,Trabajo Práctico 2 [TP2],3b8ad4aa-cb3a-4591-a29f-f3ca4aae2e85,20.0,basic_lti_launch,1656989999.0,1657015880.0,1659392827.0,120199e7-7e5e-4415-9ba6-d7635bcb9ef3,cb84e191-378f-43eb-a647-eb72eb5c7574,Horizontal multi-tasking productivity,724054QKZ
10151,57,1-2022,4.0,1656979200.0,RECUPERATORIO PRIMER PARCIAL(20),6.0,194561.0,Trabajo Práctico 3 [TP3],1645039481.0,1656989999.0,1647831600.0,1656989999.0,100.0,Trabajo Práctico 4 [TP4],021dd3d3-c553-4aff-ab0d-25628b3005a6,100.0,basic_lti_launch,1656985772.0,1656985775.0,1659392827.0,120199e7-7e5e-4415-9ba6-d7635bcb9ef3,cb84e191-378f-43eb-a647-eb72eb5c7574,Horizontal multi-tasking productivity,724054QKZ
10152,57,1-2022,4.0,1656979200.0,RECUPERATORIO PRIMER PARCIAL(20),6.0,194561.0,Trabajo Práctico 3 [TP3],1645039481.0,1656989999.0,1647831600.0,1656989999.0,100.0,Trabajo Práctico 3 [TP3],f1d28914-9ff5-41ff-be0a-66e0fc851272,83.3333333333333,basic_lti_launch,1656897005.0,1656897007.0,1659392827.0,120199e7-7e5e-4415-9ba6-d7635bcb9ef3,cb84e191-378f-43eb-a647-eb72eb5c7574,Horizontal multi-tasking productivity,724054QKZ
11073,20,1-2022,8.0,1649808000.0,PRIMER PARCIAL(20),8.0,205464.0,Trabajo Práctico 1 [TP1],1647447909.0,1649732399.0,1647831600.0,1649732399.0,100.0,Trabajo Práctico 1 [TP1],99e38659-1e7b-47d1-8687-7aa2a60e6304,85.0,online_upload,1649726410.0,1649860405.0,1659392827.0,2bc2fb30-95f8-42ff-b29e-8babf90640ce,de8c0a79-62ed-407c-b6e3-281fb93dd029,Adaptive analyzing encoding,286422CWL
13029,40,1-2022,5.0,1651449600.0,SEGUNDO PARCIAL(20),3.0,196496.0,Actividad Práctica Integradora 3 [API3],1645735493.0,1651460399.0,1647831600.0,1651460399.0,100.0,Actividad Práctica Integradora 4 [API4],5f6cda78-29ac-47be-bc6b-900c39d1c7a3,100.0,external_tool,1651461723.0,1651461927.0,1659392827.0,81e72199-6a9f-4fdb-8ac7-f313a6373e76,b8d13382-407a-4b78-982e-f08ec5d1a739,User-friendly intangible flexibility,223727PLW
13030,40,1-2022,5.0,1651449600.0,SEGUNDO PARCIAL(20),3.0,196496.0,Actividad Práctica Integradora 3 [API3],1645735493.0,1651460399.0,1647831600.0,1651460399.0,100.0,Actividad Práctica Integradora 3 [API3],aa530948-8ce1-45ca-a673-e7e8a783c1a4,100.0,external_tool,1651460176.0,1651460336.0,1659392827.0,81e72199-6a9f-4fdb-8ac7-f313a6373e76,b8d13382-407a-4b78-982e-f08ec5d1a739,User-friendly intangible flexibility,223727PLW
15229,27,1-2022,6.0,1649635200.0,PRIMER PARCIAL(20),6.0,201513.0,Actividad Práctica Integradora 1 [API1],1645796849.0,1649645999.0,1647831600.0,1649645999.0,100.0,Actividad Práctica Integradora 1 [API1],609aca6a-4d74-4850-9d43-3af555e6b192,100.0,external_tool,1649645362.0,1649645586.0,1659392827.0,824f65c1-455d-4101-bc68-da7eecb21f1b,a833b419-2d05-47c8-aa52-dda833dc76c6,Multi-lateral multi-tasking toolset,196383SWJ
15842,18,1-2022,9.0,1649721600.0,PRIMER PARCIAL(20),8.0,206612.0,Actividad Práctica Integradora 1 [API1],1647791108.0,1649645999.0,1647831600.0,1649645999.0,100.0,Actividad Práctica Integradora 2 [API2],610a79fc-e658-4eec-b57e-30138c679ada,91.7,external_tool,1649719973.0,1649722042.0,1659392827.0,41ddf565-d451-4433-89e3-34c8731fd9a5,2b274b15-83bb-4629-941e-fdc573af4e0b,Intuitive non-volatile ability,004847XRK
17557,18,1-2022,6.0,1649635200.0,PRIMER PARCIAL(20),6.0,206612.0,Actividad Práctica Integradora 1 [API1],1647791108.0,1649645999.0,1647831600.0,1649645999.0,100.0,Actividad Práctica Integradora 2 [API2],06325c54-5b8b-4525-aecb-3275e0b57944,75.0,external_tool,1649642962.0,1649644048.0,1659392827.0,2ba4c602-3da0-41b6-955a-9ec3b09a95b7,2b274b15-83bb-4629-941e-fdc573af4e0b,Intuitive non-volatile ability,928354TFY
18032,18,1-2022,7.0,1649635200.0,PRIMER PARCIAL(20),8.0,206612.0,Actividad Práctica Integradora 1 [API1],1647791108.0,1649645999.0,1647831600.0,1649645999.0,100.0,Trabajo Práctico 2 [TP2],d0e3d2d3-e1a1-4135-9922-46e0fd02398c,73.33333333333333,online_quiz,1649634521.0,1649634521.0,1659392827.0,d5e0a0f6-e9bb-4fb0-b3a8-eb5ee0fdb2a1,2b274b15-83bb-4629-941e-fdc573af4e0b,Intuitive non-volatile ability,042241DWP
18033,18,1-2022,7.0,1649635200.0,PRIMER PARCIAL(20),8.0,206612.0,Actividad Práctica Integradora 1 [API1],1647791108.0,1649645999.0,1647831600.0,1649645999.0,100.0,Actividad Práctica Integradora 2 [API2],4c552121-0d5e-4169-b161-e90846b17165,58.3,external_tool,1649625297.0,1649626901.0,1659392827.0,d5e0a0f6-e9bb-4fb0-b3a8-eb5ee0fdb2a1,2b274b15-83bb-4629-941e-fdc573af4e0b,Intuitive non-volatile ability,042241DWP
18926,48,1-2022,3.0,1652659200.0,INTEGRADOR(30),4.0,207148.0,Actividad Práctica Integradora 4 [API4],1647963402.0,1652669999.0,1647831600.0,1652669999.0,100.0,Trabajo Práctico 3 [TP3],2e18efab-d0e2-485f-a28e-dfcac2089d24,73.33333333333333,online_quiz,1652647038.0,1652647038.0,1659392827.0,f81ef422-2606-4554-97ee-2b80fe604e62,74991917-6eec-427c-8ced-54fd28363178,Optional zero-defect conglomeration,246124VYB
18927,48,1-2022,3.0,1652659200.0,INTEGRADOR(30),4.0,207148.0,Actividad Práctica Integradora 4 [API4],1647963402.0,1652669999.0,1647831600.0,1652669999.0,100.0,Trabajo Práctico 1 [TP1],e30bd768-8770-402a-9a29-5c5090076b2e,95.0,online_quiz,1652622843.0,1652622843.0,1659392827.0,f81ef422-2606-4554-97ee-2b80fe604e62,74991917-6eec-427c-8ced-54fd28363178,Optional zero-defect conglomeration,246124VYB
18928,48,1-2022,3.0,1652659200.0,INTEGRADOR(30),4.0,207148.0,Actividad Práctica Integradora 4 [API4],1647963402.0,1652669999.0,1647831600.0,1652669999.0,100.0,Trabajo Práctico 2 [TP2],6605a266-7085-462c-81df-a01a476c2192,61.66666666666667,online_quiz,1652648114.0,1652648114.0,1659392827.0,f81ef422-2606-4554-97ee-2b80fe604e62,74991917-6eec-427c-8ced-54fd28363178,Optional zero-defect conglomeration,246124VYB
18929,48,1-2022,3.0,1652659200.0,INTEGRADOR(30),4.0,202047.0,Actividad Práctica Integradora 4 [API4],1645796960.0,1652669999.0,1647831600.0,1652669999.0,100.0,Trabajo Práctico 3 [TP3],2e18efab-d0e2-485f-a28e-dfcac2089d24,73.33333333333333,online_quiz,1652647038.0,1652647038.0,1659392827.0,f81ef422-2606-4554-97ee-2b80fe604e62,74991917-6eec-427c-8ced-54fd28363178,Optional zero-defect conglomeration,246124VYB
18930,48,1-2022,3.0,1652659200.0,INTEGRADOR(30),4.0,202047.0,Actividad Práctica Integradora 4 [API4],1645796960.0,1652669999.0,1647831600.0,1652669999.0,100.0,Trabajo Práctico 1 [TP1],e30bd768-8770-402a-9a29-5c5090076b2e,95.0,online_quiz,1652622843.0,1652622843.0,1659392827.0,f81ef422-2606-4554-97ee-2b80fe604e62,74991917-6eec-427c-8ced-54fd28363178,Optional zero-defect conglomeration,246124VYB
18931,48,1-2022,3.0,1652659200.0,INTEGRADOR(30),4.0,202047.0,Actividad Práctica Integradora 4 [API4],1645796960.0,1652669999.0,1647831600.0,1652669999.0,100.0,Trabajo Práctico 2 [TP2],6605a266-7085-462c-81df-a01a476c2192,61.66666666666667,online_quiz,1652648114.0,1652648114.0,1659392827.0,f81ef422-2606-4554-97ee-2b80fe604e62,74991917-6eec-427c-8ced-54fd28363178,Optional zero-defect conglomeration,246124VYB
19202,57,1-2022,5.0,1658188800.0,INTEGRADOR(30),5.0,208557.0,Trabajo Práctico 3 [TP3],1650394494.0,1658199599.0,1653274800.0,1658199599.0,100.0,Trabajo Práctico 3 [TP3],6fc4dff1-b0ad-47ea-9f81-dcd11096f93f,75.0,online_quiz,1658196145.0,1658196145.0,1659392827.0,82ec1434-2d76-4fc9-8de4-38c216c1c68c,d6c3b308-12c6-42e4-b544-4b0db85904e1,Multi-tiered tertiary array,745854AYB
19203,57,1-2022,5.0,1658188800.0,INTEGRADOR(30),5.0,208557.0,Trabajo Práctico 3 [TP3],1650394494.0,1658199599.0,1653274800.0,1658199599.0,100.0,Trabajo Práctico 4 [TP4],c0685bfe-9aca-40bf-af94-726ab4ddecdb,75.0,online_quiz,1658198235.0,1658198235.0,1659392827.0,82ec1434-2d76-4fc9-8de4-38c216c1c68c,d6c3b308-12c6-42e4-b544-4b0db85904e1,Multi-tiered tertiary array,745854AYB
19204,57,1-2022,5.0,1658188800.0,INTEGRADOR(30),5.0,208557.0,Trabajo Práctico 3 [TP3],1650394494.0,1658199599.0,1653274800.0,1658199599.0,100.0,Trabajo Práctico 2 [TP2],055c115e-ba06-4a88-bf6e-f3d2f9f8af1a,70.0,online_quiz,1658187788.0,1658187788.0,1659392827.0,82ec1434-2d76-4fc9-8de4-38c216c1c68c,d6c3b308-12c6-42e4-b544-4b0db85904e1,Multi-tiered tertiary array,745854AYB
19205,57,1-2022,5.0,1658188800.0,INTEGRADOR(30),5.0,208644.0,Trabajo Práctico 4 [TP4],1650394502.0,1658199599.0,1653274800.0,1658199599.0,100.0,Trabajo Práctico 3 [TP3],6fc4dff1-b0ad-47ea-9f81-dcd11096f93f,75.0,online_quiz,1658196145.0,1658196145.0,1659392827.0,82ec1434-2d76-4fc9-8de4-38c216c1c68c,d6c3b308-12c6-42e4-b544-4b0db85904e1,Multi-tiered tertiary array,745854AYB
19206,57,1-2022,5.0,1658188800.0,INTEGRADOR(30),5.0,208644.0,Trabajo Práctico 4 [TP4],1650394502.0,1658199599.0,1653274800.0,1658199599.0,100.0,Trabajo Práctico 4 [TP4],c0685bfe-9aca-40bf-af94-726ab4ddecdb,75.0,online_quiz,1658198235.0,1658198235.0,1659392827.0,82ec1434-2d76-4fc9-8de4-38c216c1c68c,d6c3b308-12c6-42e4-b544-4b0db85904e1,Multi-tiered tertiary array,745854AYB
19207,57,1-2022,5.0,1658188800.0,INTEGRADOR(30),5.0,208644.0,Trabajo Práctico 4 [TP4],1650394502.0,1658199599.0,1653274800.0,1658199599.0,100.0,Trabajo Práctico 2 [TP2],055c115e-ba06-4a88-bf6e-f3d2f9f8af1a,70.0,online_quiz,1658187788.0,1658187788.0,1659392827.0,82ec1434-2d76-4fc9-8de4-38c216c1c68c,d6c3b308-12c6-42e4-b544-4b0db85904e1,Multi-tiered tertiary array,745854AYB
19208,57,1-2022,5.0,1658188800.0,INTEGRADOR(30),5.0,208630.0,Trabajo Práctico 1 [TP1],1650394500.0,1658199599.0,1653274800.0,1658199599.0,100.0,Trabajo Práctico 3 [TP3],6fc4dff1-b0ad-47ea-9f81-dcd11096f93f,75.0,online_quiz,1658196145.0,1658196145.0,1659392827.0,82ec1434-2d76-4fc9-8de4-38c216c1c68c,d6c3b308-12c6-42e4-b544-4b0db85904e1,Multi-tiered tertiary array,745854AYB
19209,57,1-2022,5.0,1658188800.0,INTEGRADOR(30),5.0,208630.0,Trabajo Práctico 1 [TP1],1650394500.0,1658199599.0,1653274800.0,1658199599.0,100.0,Trabajo Práctico 4 [TP4],c0685bfe-9aca-40bf-af94-726ab4ddecdb,75.0,online_quiz,1658198235.0,1658198235.0,1659392827.0,82ec1434-2d76-4fc9-8de4-38c216c1c68c,d6c3b308-12c6-42e4-b544-4b0db85904e1,Multi-tiered tertiary array,745854AYB
19210,57,1-2022,5.0,1658188800.0,INTEGRADOR(30),5.0,208630.0,Trabajo Práctico 1 [TP1],1650394500.0,1658199599.0,1653274800.0,1658199599.0,100.0,Trabajo Práctico 2 [TP2],055c115e-ba06-4a88-bf6e-f3d2f9f8af1a,70.0,online_quiz,1658187788.0,1658187788.0,1659392827.0,82ec1434-2d76-4fc9-8de4-38c216c1c68c,d6c3b308-12c6-42e4-b544-4b0db85904e1,Multi-tiered tertiary array,745854AYB
19211,57,1-2022,5.0,1658188800.0,INTEGRADOR(30),5.0,208614.0,Trabajo Práctico 2 [TP2],1650394499.0,1658199599.0,1653274800.0,1658199599.0,100.0,Trabajo Práctico 3 [TP3],6fc4dff1-b0ad-47ea-9f81-dcd11096f93f,75.0,online_quiz,1658196145.0,1658196145.0,1659392827.0,82ec1434-2d76-4fc9-8de4-38c216c1c68c,d6c3b308-12c6-42e4-b544-4b0db85904e1,Multi-tiered tertiary array,745854AYB
19212,57,1-2022,5.0,1658188800.0,INTEGRADOR(30),5.0,208614.0,Trabajo Práctico 2 [TP2],1650394499.0,1658199599.0,1653274800.0,1658199599.0,100.0,Trabajo Práctico 4 [TP4],c0685bfe-9aca-40bf-af94-726ab4ddecdb,75.0,online_quiz,1658198235.0,1658198235.0,1659392827.0,82ec1434-2d76-4fc9-8de4-38c216c1c68c,d6c3b308-12c6-42e4-b544-4b0db85904e1,Multi-tiered tertiary array,745854AYB
19213,57,1-2022,5.0,1658188800.0,INTEGRADOR(30),5.0,208614.0,Trabajo Práctico 2 [TP2],1650394499.0,1658199599.0,1653274800.0,1658199599.0,100.0,Trabajo Práctico 2 [TP2],055c115e-ba06-4a88-bf6e-f3d2f9f8af1a,70.0,online_quiz,1658187788.0,1658187788.0,1659392827.0,82ec1434-2d76-4fc9-8de4-38c216c1c68c,d6c3b308-12c6-42e4-b544-4b0db85904e1,Multi-tiered tertiary array,745854AYB
20238,27,1-2022,9.0,1649635200.0,PRIMER PARCIAL(20),8.0,201172.0,Actividad Práctica Integradora 1 [API1],1645796777.0,1649645999.0,1647831600.0,1649645999.0,100.0,Trabajo Práctico 1 [TP1],3753e577-443d-4379-895d-e1a7590f358f,75.0,online_quiz,1649700244.0,1649700244.0,1659392827.0,0cf3d603-81dc-4dd9-8ed2-df4b8d6f88d7,5091eb82-03b8-4007-b2c1-450f968954ad,User-friendly high-level frame,588155UIR
20239,27,1-2022,9.0,1649635200.0,PRIMER PARCIAL(20),8.0,201172.0,Actividad Práctica Integradora 1 [API1],1645796777.0,1649645999.0,1647831600.0,1649645999.0,100.0,Trabajo Práctico 2 [TP2],0f2a75b4-ef8e-4318-9082-456d176844f0,86.66666666666667,online_quiz,1649701224.0,1649701224.0,1659392827.0,0cf3d603-81dc-4dd9-8ed2-df4b8d6f88d7,5091eb82-03b8-4007-b2c1-450f968954ad,User-friendly high-level frame,588155UIR
23128,30,1-2022,8.0,1650931200.0,SEGUNDO PARCIAL(20),10.0,205916.0,Trabajo Práctico 3 [TP3],1647456302.0,1650941999.0,1647831600.0,1650941999.0,100.0,Trabajo Práctico 3 [TP3],4ec55381-93e4-4134-94d2-443f80ead37b,100.0,online_upload,1650845823.0,1651176899.0,1659392827.0,99d393e7-471f-4481-b4cb-fb00bacd00de,bbb2980c-79aa-4df3-9f8d-9ea8b1198112,Phased 4thgeneration workforce,600584GCK
23129,30,1-2022,8.0,1650931200.0,SEGUNDO PARCIAL(20),10.0,205916.0,Trabajo Práctico 3 [TP3],1647456302.0,1650941999.0,1647831600.0,1650941999.0,100.0,Trabajo Práctico 2 [TP2],61c6fbb6-0949-4247-81e2-839b90947beb,72.0,online_upload,1650843642.0,1650977399.0,1659392827.0,99d393e7-471f-4481-b4cb-fb00bacd00de,bbb2980c-79aa-4df3-9f8d-9ea8b1198112,Phased 4thgeneration workforce,600584GCK
23130,30,1-2022,8.0,1650931200.0,SEGUNDO PARCIAL(20),10.0,205909.0,Trabajo Práctico 2 [TP2],1647456301.0,1650941999.0,1647831600.0,1650941999.0,100.0,Trabajo Práctico 3 [TP3],4ec55381-93e4-4134-94d2-443f80ead37b,100.0,online_upload,1650845823.0,1651176899.0,1659392827.0,99d393e7-471f-4481-b4cb-fb00bacd00de,bbb2980c-79aa-4df3-9f8d-9ea8b1198112,Phased 4thgeneration workforce,600584GCK
23131,30,1-2022,8.0,1650931200.0,SEGUNDO PARCIAL(20),10.0,205909.0,Trabajo Práctico 2 [TP2],1647456301.0,1650941999.0,1647831600.0,1650941999.0,100.0,Trabajo Práctico 2 [TP2],61c6fbb6-0949-4247-81e2-839b90947beb,72.0,online_upload,1650843642.0,1650977399.0,1659392827.0,99d393e7-471f-4481-b4cb-fb00bacd00de,bbb2980c-79aa-4df3-9f8d-9ea8b1198112,Phased 4thgeneration workforce,600584GCK
24350,20,1-2022,7.0,1649721600.0,PRIMER PARCIAL(20),7.0,205464.0,Trabajo Práctico 1 [TP1],1647447909.0,1649732399.0,1647831600.0,1649732399.0,100.0,Trabajo Práctico 1 [TP1],344929cc-239b-452f-ad1e-7cd3896c40b7,100.0,online_upload,1649712588.0,1649777617.0,1659392827.0,bf410e47-622a-41fc-bebc-9d583878f371,de8c0a79-62ed-407c-b6e3-281fb93dd029,Adaptive analyzing encoding,302896BFJ
